tconst,primaryTitle,startYear,worldwide,domestic,log_worldwide,log_domestic,dom_r,dom_g,dom_b,avg_brightness,avg_saturation,orange_teal_score,face_count,face_density,release_month,release_window
tt27458299,Everything's Fifty Fifty,2024,724401,,13.493101765893162,,230,204,180,203.38,107.86,0.4691,3,0.08,8,Other
tt11114992,Sanremo,2020,5213,,8.559102594493448,,3,2,2,58.86,61.01,0.229,2,0.0533,11,Other
tt15245624,Lange flate ballær III,2022,1550107,,14.253835163887423,,253,254,254,223.3,29.35,0.1547,8,0.213,3,Other
tt13990280,Bhramam,2021,90133,,11.409052730905186,,20,14,16,68.44,100.38,0.135,8,0.2133,10,Other
tt35300281,A Girl Named Willow,2025,4632468,,15.348600545268209,,37,37,19,106.48,152.39,0.1051,1,0.0267,2,Other
tt6340698,The Forest of Wool and Steel,2018,3567409,,15.08735040026438,,158,133,88,141.44,104.59,0.0923,5,0.1333,6,Other
tt36689463,Tomb Watcher,2025,243555,,12.403102174529677,,7,6,13,34.09,129.59,0.0227,3,0.08,4,Other
tt5897636,Summer 1993,2017,3054855,185903.0,14.932243013634023,12.132985690422643,250,250,249,167.46,48.35,0.1192,2,0.0533,2,Summer
tt5474522,Old Stone,2016,7768,7476.0,8.95789673495042,8.919586920999915,25,4,4,118.42,215.8,0.0796,0,0.0,2,Awards
tt6746304,Pity,2018,64733,,11.078041844779396,,151,148,133,149.5,37.57,0.298,1,0.0267,1,Other
tt8761814,Sheep & Wolves: Pig Deal,2019,3367972,,15.029821637685142,,50,35,35,152.51,106.29,0.3372,2,0.0533,1,Other
tt23732034,The Uninvited,2024,19413,,9.873749734272172,,232,225,209,177.74,72.51,0.1552,7,0.1867,3,Other
tt18777212,The Hungarian Dressmaker,2024,84671,,11.346540247474628,,178,180,179,151.71,43.31,0.1652,7,0.1867,6,Other
tt5514914,Casper and Emma Go Hiking,2017,1500890,,14.221569489724269,,53,54,33,156.2,108.79,0.1827,6,0.1681,3,Other
tt27447581,All About the Little Things,2023,5703,,8.648922962094131,,214,211,204,172.39,49.38,0.1514,0,0.0,6,Other
tt6094970,Rebels on Pointe,2017,15088,15088.0,9.62172128051365,9.62172128051365,13,10,11,78.29,49.03,0.1007,0,0.0,2,Awards
tt13457790,The Critic,2023,3344788,449020.0,15.022914170332168,13.014824936232015,14,6,9,122.95,128.05,0.2207,4,0.1067,9,Awards
tt10237592,"Spring, Again",2019,155918,,11.957091920615468,,200,221,233,216.74,37.79,0.4952,2,0.0533,4,Other
tt5089534,Freak Show,2017,20657,19696.0,9.93585793256658,9.888221618865694,11,9,8,82.07,100.13,0.2565,4,0.1067,2,Other
tt30253473,Materialists,2025,107949056,36521973.0,18.497169979361228,17.413424664804186,251,252,248,174.9,48.18,0.148,3,0.08,6,Summer
tt31613325,Jeonde Raho Bhoot Ji,2024,12034,,9.395574350217172,,30,15,15,81.21,108.49,0.2395,3,0.09,4,Other
tt15072612,Journey to the West,2021,5676,,8.644178203170727,,38,43,69,113.03,123.29,0.0503,2,0.0533,10,Other
tt5680678,Inseparables,2016,9963833,6258.0,16.114472495249515,8.7417757069247,18,14,14,97.08,69.96,0.3797,2,0.0533,8,Awards
tt4682786,Collateral Beauty,2016,88616021,31016021.0,18.29982323444104,17.250014467643975,254,254,252,195.6,51.17,0.3461,8,0.2133,12,Holiday
tt28763074,Dancing Village: The Curse Begins,2024,52945,,10.877027805210975,,3,4,7,27.3,103.13,0.1068,1,0.0267,3,Spring
tt7600716,DNA,2020,2156377,,14.583940520318777,,26,28,32,109.9,94.66,0.2071,2,0.0533,9,Other
tt2903136,Hanna and the Monsters,2023,220071,,12.301710044519734,,35,67,38,154.97,140.5,0.2082,0,0.0,4,Other
tt8743032,The Silence of the Marsh,2019,279983,,12.542487737661528,,27,14,12,95.86,162.14,0.5882,1,0.0267,10,Other
tt6152546,Guilty Men,2016,622,,6.434546518787453,,20,20,10,70.88,136.51,0.0994,2,0.0533,9,Other
tt13040244,Lain,2021,16783,,9.728181330636078,,33,27,38,126.11,121.17,0.2783,0,0.0,12,Other
tt15144270,Black Ice,2022,47362,47362.0,10.765596612146298,10.765596612146298,235,230,222,173.38,55.82,0.1336,0,0.0,9,Summer
tt6083230,Little Forest,2018,8350466,,15.93782802340683,,71,88,73,169.63,64.58,0.0789,1,0.0267,2,Other
tt12934318,A Horrible Grandpa,2020,19088,,9.8568675319009,,32,20,22,132.4,90.07,0.2943,3,0.0811,7,Other
